,ref
2852,This is not to say that the Western tradition has a monopoly on Niceness.
2853,"The original meaning is harsher and more in keeping with traditional Japanese culture: the stick is used to beat the dog, who should not have poked around."
2854,Fairy tales have also come in for their share of Niceness.
2855,The folklore the Grimm Brothers unearthed was full of beheadings and torture; the stories were both amusements and cautionary tales.
2856,"When he sprang out at her, she fled screaming."
2857,"Shakespeare, at a remove of four centuries, provides a hapless hunting ground for nice misinterpretations, either through misquotation or quoting out of context."
2858,"The pleasant drift is nature reminding us that we are all in this world together--but this was not what Shakespeare intended, especially in his most satirical and pessimistic play, Troilus and Cressida."
2859,The line itself is spoken by the wily Ulysses attempting to persuade Achilles to return to battle.
2860,It may be merely a coincidence that this is what quoters of Shakespeare are doing when they use this line incorrectly.
2861,"In fact, it is painful for Rick to hear the music now, and the only reason he tells Sam to play it is for Ilsa's sake."
2862,"An etymological analogy is useful here: nostalgia really means the ache or pain of return, but most people think of nostalgia as pleasurable recollection."
2863,"Transmutation of tales, legends, and sayings are not the only effects of the Niceness Principle."
2864,"It sweeps words in its passage, as well. But in general we seem to lighten up meanings rather than darken them."
2865,"Language is a living, changing phenomenon, and it is no use railing against shifts in meaning, which are bound to occur."
2866,And avoiding unpleasantness is often a reasonable aim.
2867,"But as an English professor who tries to teach the spirit of literature, I have a vested interest in accuracy."
2868,Fuzzy recall indicates a disregard for history.
2869,"In Stockholm there is a chain of fast-food restaurants where you can get, along with a fairly high risk of heartburn, what must rank as the ultimate in culinary oxymorons: a hamburger called a Mini Big ."
2870,"All these names are English, more or less."
2871,"It appears that in Sweden these days, as in the world generally, people not only increasingly speak English but also eat it."
2872,"The words, one supposes, were chosen from an unabridged dictionary by a parrot with a stick in its beak."
2873,What is even more alarming is that these bewilderingly vague sentiments have begun appearing in the English-speaking world.
2874,"In the literal sense, nothing, of course."
2875,"But in a more metaphoric way they do rather underscore the huge, almost compulsive appeal of English in the world."
2876,"It is an odd fact that almost everywhere on the planet products are deemed more appealing and sentiments more powerful if they are expressed in English, even if they make next to no sense."
2877,"Italian women coat their faces with col cream , Romanians ride the trolleybus , and Spaniards, when they feel chilly, don a sueter ."
2878,"Almost everyone in the world speaks on the telephone or the telefoon or even, in China, the te le fung ."
2879,And almost everywhere you can find nightclubs and television .
2880,"There is no denying that the English language, quite apart from its utilitarian purposes, holds an odd, almost quaint fascination for many foreign speakers."
2881,Some of these products betray a rather comforting lack of geographical precision.
2882,Closer inspection reveals this to be merely a Belgian truncation of the English sweatshirt .
2883,"Usually English words are taken just as they are, but sometimes they are adapted to local needs, often in quite striking ways."
2884,Other nations have left the words largely intact but given the spelling a novel twist.
2885,Thus the Ukrainian herkot might seem wholly foreign to you until you realize that it is what a Ukrainian goes to his barber for.
2886,"Similarly, unless you heard them spoken you might not recognize ajskrym, erebeta , and kontaklinser as, respectively, Polish for ice cream , Japanese for elevator , and Swedish for contact lenses ."
2887,"This practice of taking English words and hacking away at them until they emerge as something more like native products is particularly rampant among the Japanese, who have borrowed no fewer than 20,000 English words--at least ten per cent of all the words in common use there."
2888,"Occasionally, the Japanese stretch the borrowed words to fit more comfortably to their pronunciation--as with productivity , which became in Japanese purodakuchibichi --but for the most part they use the same sort of ingenuity miniaturizing English words as they do in miniaturizing tape recorders and video cameras."
2889,"So word processor in Japan become wa-pro, personal computer becomes masu-komi , and commercial is unceremoniously shorn of its troublesome consonant clusters and shrunk to a terse monosyllable: cm."
2890,"Sometimes, English words are given not only new spellings but also entirely new meanings."
2891,"In the last century the Russians, for reasons that no one now seems quite sure of, took the name of a London railway station, Vauxhall, and made it their generic word for all railroad stations: vagzal ."
2892,"More recently, the French borrowed the English slang words jerk and egghead but gave them largely contrary meanings--namely, an egghead in France is not a brainy person but a dimwit, while jerk is a term of praise for an accomplished dancer--though at least they respect the spellings."
2893,Occasionally borrowers of English words use them to create new words.
2894,"The Japanese have lately appropriated the English word mansion , respelled it manshon , and used it to signify not a large single dwelling but a high-rise apartment building."
2895,This practice of adopting an English word and then using it as the basis for forming other words quite unknown in English is more common than you might expect.
2896,"The Germans, in particular, are adept at taking things a step further than ever occurred to anyone in English."
2897,"In Germany a young person goes from being in his teens to being in his twens , a book that doesn't quite become a bestseller is instead ein steadyseller , and a person who is more relaxed than another is relaxter ."
2898,"Oddly enough, a century ago we did much the same thing with a rude Dutch term, pappekak , which we anglicized into the anodyne poppycock ."
2899,"Of course, not all these borrowings are free of charge. The English language has become a very big business indeed."
2900,"Globally, the teaching of English is worth ¥6 billion a year; in Britain alone it is the sixth largest source of invisible earnings, worth ¥500 million a year."
2901,Some people are naturally better at mastering English than others.
2902,If there is one thing we should be worried about in the English-speaking world it is not that we are doing poorly at learning other people's languages-- though that is worrisome enough--but that we increasingly pay so little attention to the competent use of our own.
2903,"Suppose we saw a German we knew walking toward us. ' There's a nuance of put-down, almost hostility there."
2904,"The unmodified noun for an ethnic group or nationality does imply a certain hostility or contempt or, especially on the lips of a member of that group, a nuance of defiance, as in Kazin's case."
2905,There seems to be a kind of semantic quality that makes adjectives softer and gentler than nouns and makes of them softening agents.
2906,"In some cases the adjectives and nouns for ethnic groups are formally identical, as for example German, Swiss, or Russian ."
2907,"If adjectives soften ethnic terms, nouns can harden them."
2908,This function can be demonstrated by comparing the noun Jew with the adjective Jewish in context.
2909,"Because of the abomination and shame of anti-Semitism, you tend to respond more sensitively to language reflecting attitudes toward Jews, which is why jew down is both derogatory and offensive while gyp or welch on are relatively innocuous."
2910,But the hardening effect of plain nouns can be detected with regard to other peoples.
2911,The ethnic terms that seem bluntest or most indelicate are sometimes simply what people call themselves.
2912,"When a people has been dealt with shamefully, there is reason to dissociate it from its former identity by giving it a new name."
2913,"Blacks, of course, are usually no more black than whites are white."
2914,The misnomer must be acceptable because the parallelism implies equality between the folks so designated by adjectives of color.
2915,"There are nationalities and ethnic groups so confident, so satisfied with themselves that ethnic epithets either bounce off them like pebbles off an elephant or are adopted as amusing or even ornamental."
2916,What do you call an American or Australian to insult him? Yank and Aussie have been tried but to no avail.
2917,Then there are peoples too alien or exotic to the mainstream of the dominant culture to have prompted an attitude expressed in language.
2918,American Indian tribes seem to fall into this category.
2919,"This indifference does not, however, extend to particular kinds of Indians."
2920,"When it comes to sensitivity to ethnic or national designations, the bulk of Americans seem to be indifferent to nuance."
2921,"Are we made impervious by a shell of arrogance, numb by self-satisfaction, or tolerant by the wild ethnic diversity in which most of us live?"
2922,Submitted by and by several other readers.
2923,"Neither of us mentioned the discrepancy in pronunciation, but equally neither of us would budge from what we knew to be right."
2924,"In an open court, I would have explained that my great-aunt lived there for twenty years and never stopped calling it MADGE-ORCA, and even if I gave up calling it MADGE-ORCA I would instead call it MALLYORCA, and not the odd in-betweeny MEEYORCA."
2925,"But our conversation never reached the open court, so she must have replaced her receiver thinking me hopelessly ignorant."
2926,Such oddities emanate largely from Tories who are midway through performing their own plastic surgery on their vowel sounds.
2927,"Mrs. Thatcher, too, pronounces various words in an idiosyncratic manner."
2928,Many of the statesmen in history to whom actors ascribe smart southern accents were in fact proudly northern.
2929,"Gladstone liked to chew everything thirty-two times, so he spent the meal largely in silence."
2930,"At last, he seemed ready to say something, and his fellow guests leant forward in anticipation."
2931,"Nowadays, the shifting sands of pronunciation claim many a victim."
2932,"At the moment, I am stranded awkwardly in between, and I'm sorely tempted to struggle back to my original point of embarkation."
2933,Those at the top of society have not helped matters by their tendency to inverted snobbery.
2934,"' The debates that Deborah Cameron illustrates are fundamental to everyone's use of language whether they be female or male--how it is used, how it is perceived and received by speakers and readers of both sexes, how it can on the one hand bolster and on the other break down attitudes and prejudices, and how it can create new awarenesses."
2935,"One of the main strengths of the collection is that it does not just put forward one view, it maps out the debate allowing different views to be stated and then criticized or revised."
2936,The eighteen essays and extracts and the perceptive introduction reveal the range and depth of the debate about feminism and language.
2937,Schulz's 1975 essay on the semantic derogation of women leads into a discussion of compiling a Feminist Dictionary against the grain of the authors' view in predominantly male lexicography.
2938,One of the main strengths of this collection is that it makes available to specialists--students of literature for instance--material which would otherwise have been extremely difficult to get hold of.
2939,It is a pity that the most recent material in the collection appeared in the mid 1980s.
2940,Cameron deliberately excludes some of the more familiar work which is available elsewhere.
2941,So this collection contains texts that are more marginal than would he ideal for students who may read nothing else on the subject.
2942,Her thematic structure also slightly defuses the impact of the debate.
2943,"Adrian Room, a well-known and proficient lexicographer and compiler of all sorts of collectables has produced a book that some might find enormously entertaining, or useful, or both, but which I find somewhat tedious."
2944,"To the unsinkable Dolly, who has a big brain under that big yellow wig, and a big heart under that big chest, this book is respectfully dedicated."
2945,"To Mary, without whose constant encouragement and advice this book would have been finished in half the time."
2946,"These seem to me neither funny nor clever, but there are so many of the type that I get the feeling that I may be the odd man out, the one person in the world who finds Thomas Hardy excruciatingly boring: I have a sneaking suspicion that there are many like me but they are too embarrassed to admit it."
2947,"It must be remembered that many successful authors of yore were supported by patrons, and praising a wealthy and powerful individual in the days before democracy became popular was simply a matter of expediency."
2948,"Besides, only the worst ingrate would fail to acknowledge to largesse provided."
2949,But such acknowledgments do not qualify as dedications in the sense generally understood and in the book at hand in particular.
2950,"Had I ever noticed that, I cannot say that it would have kept me awake nights wondering and worrying who Hommy-Beg might be: I would assume it was a nickname for someone close to Stoker, possibly a private nickname known only to the two of them, and I would have continued to nod off."
2951,"If one likes this sort of thing, there is no keeping him down, I suppose, and if one must have a collection of dedications, I suppose it ought to be Adrian Room's."
2952,They contain a great deal of information that has been intelligently collated.
2953,The awkward fact about the surname dictionary is that a great many people will consult it in vain for information about their own names.
2954,"Such names must of course be included, though the people most anxious to discover something about the original meaning of their surnames are invariably those who bear the rarer names."
2955,"The authors say that if they came across reliable information about rarer names, they wrote entries."
2956,"In other words, if someone else had done the research in what appeared to be a scholarly way, they took advantage of it."
2957,"That seems to me to be a sensible approach, since the only way properly to investigate a surname is to go back through the male line as far as possible, noting the various spellings of the name, where the family was living in past centuries, and so on."
2958,Being asked to make a judgment about a surname merely on the basis of its modern spelling is rather like being asked to give the meaning of a word such as pain without being told whether the word is English or French and without knowing whether the word should really be spelled pane .
2959,"Acting on that last hint, I looked at the Bean entry."
2960,"People well-known in the entertainment world, such as Frankie Vaughan, are definitely not mentioned."
2961,"Under the entry for Howard , therefore, we are given notes on the noble house of that name, along with the possible derivations of the surname."
2962,The absence of hard statistical evidence about the use of first names in the English-speaking world is also very worrying.
2963,Such evidence is vital for many reasons.
2964,It enables sensible decisions to be made about which names should be included in a work of this kind.
2965,Statistical evidence also indicates the reason for a name's use.
2966,It is absurd to suggest that Howard has been used in modern times because it is the surname of an aristocratic British family.
2967,"Hanks and Hodges totally ignore such American influence, though the evidence for it is overwhelming."
2968,"Surname interpretation mainly requires good philological skills, which Hanks and Hodges supply."
2969,"First names call for a frequent delving into areas of nonacademic, popular culture and recent social history, as well as a certain amount of linguistic judgment."
2970,The student of first names needs an enthusiastic and genuine interest in the behavior of ordinary human beings.
2971,"He found misplacement problems, mistakes in parallel structures, improper use of commas, wrong or missing prepositions, incorrect use of reflexive verbs, etc."
2972,"Besides, it is axiomatic that there is a basic difference between spoken language and written language, and it is highly fallacious to assume that a native speaker, even with a fluent command of his language, can ipso facto intelligently write in it, let alone translate from or into it."
2973,He was born in the United States and received his education in public schools.
2974,In his childhood a Hebrew teacher would come to his home for several hours a week.
2975,He never went to a secular Yiddish school where Yiddish was taught as a basic subject and where other subjects as well were taught in Yiddish.
2976,In the course of our lengthy telephone conversations I could not detect a sense of informed literacy about Yiddish as a language.
2977,It also became clear that the Yiddish of his parents was not standard Yiddish.
2978,"It is gratuitously assumed that Yiddish ... can dispense with strict forms and usages, that part of its appeal is supposed to lie in a happy-go-lucky grammatical and syntactical laxity which makes error impossible and everyone knowledgeable."
2979,"Though printed in the traditional Yiddish/ Hebrew alphabet, most of the words were misspelled, as though the writer had never seen a Yiddish dictionary; the syntax was garbled almost beyond recognition; the lexical content made little sense."
2980,The official admitted that at least in the case of Yiddish the Census Bureau had erred in relying on this contractor.
2981,"Professor Kaye's nuance word is, at a guess, a suggestion from a word-processor's spelling checker which was derailed by nonce word ."
2982,Is monotheism an inadequate word to describe basic beliefs set forth in the Old Testament?
2983,"If many of the people of the covenant believed that Jehovah was the supreme god among lesser gods, were they henotheists, rather than monotheists?"
2984,The distinction is a neat and illuminating one.
2985,"It seems to be a way station between polytheism and monotheism, a useful concept that provides a missing link in the evolutionary process."
2986,"It is also found in hendecasyllable, hendecagon , and hendecahedron ."
2987,"American Grammar Although this is essentially a textbook, it is lucidly written and presented and can be commended to those who have been less than satisfied by earlier attempts to provide a clear exposition of Chomskyan grammar."
2988,"Much of Chomskyan grammar is very boring and mechanistic, with its transformational rules and deterministic reflexes."
2989,"For me, some questions about grammar are still more comfortably answered by traditional theory, though I draw on transformational grammar when it suits me--any port in a storm."
2990,"To hold that psychology--even physiology--has no relationship to grammar seems overbearing to me, for experience has a great deal to do with how we use and understand language, which I consider highly associative."
2991,"However, I should not enter the argument here: all theories have their strong and weak points, and transformational grammar appears to have fewer weak ones."
2992,"At the other extreme, some linguists in the late 1960s and early 1970s argued that almost all aspects of meaning in language ought to be explained by semantic rules in the grammar."
2993,"The question is trivial, for the systems need not be mutually exclusive, nor need they exclude phrasal sets like Shut up!"
2994,"It may be hard to believe, but in the 1960s some linguists advocated a stochastic approach to grammatical analysis--that is, one in which each word was analyzed on its own, without reference to what preceded or followed--an approach that even the merest intelligence ought to have rejected."
2995,"Grammar is a formidable term to many, largely because of their associations with it from their schooling, either in learning a foreign language or in learning more about their own."
2996,"Carl Mills has written a useful, understandable, understanding, and informative introduction to the subject."
2997,"Roads-- or, at least roads with motor traffic on them--are relatively new."
2998,"Words on road signs, though, have the worst of both worlds, and the old certainly does not redress the balance of the new."
2999,Today's travelers on today's roads have to make do with a sort of compressed-speak where speed is of the essence and brevity the soul of economy.
3000,"Or should it, perhaps, be that the essence is of speed because if the road sign cannot be seen and understood at a distance of a hundred yards at a speed of 80 miles per hour then it might as well not exist?"
3001,"The message has to be short and simple, like STOP. Expand this to STOP CHILDREN and the first ambiguity creeps in."
3002,"On the other hand, POLICE PATROL VEHICLES ONLY is something motorists have long suspected, and POLICE SLOW purely a matter of opinion."
3003,"Was it, perhaps, the early use of the word CIRCUS that led to the involvement of the animal word in the naming of pedestrain crossings?"
3004,To confuse matters still further there are road signs in Africa marked ELEPHANT and HIPPOPOTAMUS CROSSING which mean just that.
3005,There is one in a busy American street which reads TURTLES CROSSING--they are on their way to lay their eggs.
3006,Then there is the sign ONE IN SEVEN at the top of the hill.
3007,"Can there be only six more like it, or is that just auto-suggestion?"
3008,"Words that, barely a quarter of a century ago,would have resulted in instant arrest for insulting behaviour can now be overheard any time in Knightsbridge, Oxford Street, and any school playground in the country."
3009,On stage and screen they are even harder to escape.
3010,"In the silent-film era, language did not concern the censors, apart from occasional complaints at some vulgarity in subtitles."
3011,For four decades the ruling was strictly followed on both sides of the Atlantic.
3012,"Yet proscription is ever the mother of invention. In literature, the liberation of language began earlier than in films."
3013,"Throughout the fifties the word which Mailer only suggested made more and more appearances in American novels, though it was regularly cut out of the English editions until 1959."
3014,The modern vocabulary marks a singular linguistic revolution.
3015,"The words proscribed by the old production codes were swearing or profanity in the true sense, with purely spiritual connotations in their reference to the Deity."
3016,"While this form of searing has lost the force it once had, the essence of all the new words of emphasis is physical."
3017,"One, generally the mildest, includes rectal/excretory expressions."
3018,The second comprises synonyms for the male and female genitalia.
3019,In most common use are the words in the third group that originally define sexual acts.
3020,"It is not uncommon for the word fuck and its derivatives to appear thirty or forty times in a police movie; in GoodFellas , the count would certainly be well over one hundred."
3021,"The anomaly of this prodigal use of language that would once have been generally regarded as unacceptably obscene is that, even today, it in no way coincides with the usage of the great majority of the audience--any more than did the excessive puritanism of the old production code."
3022,"Thus, many people who go to the cinema encounter language to which they are not accustomed in daily life."
3023,The American film trade would argue that it is.
3024,"The bourgeoisie and the Bible Belt are not after all the most profitable audience; the public that is wants strong sensation, which they will to an extent measure by the language in which the films are couched."
3025,"Moreover, since the public tends to prejudge movies by their classification, the film distributors aim for those classifications that promise the strongest fare while admitting the largest age range."
3026,In Britain this is the 15 certificate; in the US the PG13.
3027,"Often there is a contractual obligation on film-makers to achieve a PG13, for which the minimum requirement is one use of the obscenity fuck ."
3028,The level of language affects the extra-theatrical careers of films.
3029,Airline versions must have all the strong language excised.
3030,"In this country, video versions, likely to be viewed at home, are sometimes more stringently classified by the BBFC than the original films."
3031,American television is generally much more puritanical than Britain's in reediting films for transmission.
3032,When films are shown before those hours there is a danger that the viewer might be confused by abrupt cuts and bleeps.
3033,The most serious result of the proliferation of this comparatively restricted vocabulary is the impoverishment of writing.
3034,"For hack screenwriters, sexually based words have become a kind of shorthand to represent insult or anger, while rectal/ excretory words more generally are used to get an easy laugh."
3035,"With use, the words have rapidly lost most of the shock value they once had."
3036,"To be effective, writers will soon have to start looking for imaginative alternatives."
3037,Perhaps we will one day be startled again by Godfrey Daniel!
3038,The style manuals are explicit in their directions regarding the citing of others' writings.
3039,"Articulate artists, writers, musicians, lawyers, scientists, teachers, historians, etc."
3040,The style problem is fairly simple to describe.
3041,"Admittedly, its meaning is transparent, but Americans do not use expressions like stepped-up shoes ."
3042,"If such an idiom occurs in a direct quotation it ought to be left the way it was, then explained, even though the rhythm of the writing be disturbed."
3043,"In live interviews that is not always easily done, especially when the interviewer is unfamiliar with an expression and is too embarrassed to admit it."
3044,"Several of us were locked in a long and tiring discussion of a project's costs, which I considered to be realistic and the others thought expensive."
3045,"Struggling back to the subject, I should suggest that in quoting spoken material, mere spelling of the order of honor/honour, traveler/traveller, paneling/ panelling should follow the style of the medium, wherever it is published."
3046,"The speaker's words should never be changed; that is, arse ought not be substituted for ass or vice versa and, if an explanation of an unfamiliar word or phrase is required, it ought to be supplied, even if this must be relegated to a footnote."
3047,"In this particular case, it is doubtful that anyone reading The Times is unaware of the meaning of American ass ."
3048,"Another alternative, not always possible, is to avoid entirely the passage containing the problem word or phrase."
3049,"Dictionnaire de Franglais There has come into my possession the above book from which all sorts of interesting information may be gleaned--information, moreover, not to be had from any other source."
3050,"We are, of course, in the magical domain of Franglais, where it is virtually impossible to tell whether the given definitions accurately represent the way English words and phrases are employed by the French or merely reflect one person's valiant but ill-founded guesswork: in other words, whether such massive incomprehension is individual or collective."
3051,"Clothing and fashion receive due attention, as well."
3052,"One suspects that this volume must be the work of its publisher, Guy Le Prat... concerning whom I am obliged to assume that, as they, say in the vermouth advertisements, you do pronounce the t ."
3053,At any rate he has dropped more than one brick .
3054,"There is no doubt that the book is very well presented, well written, and well organized; moreover, it offers good, sound, accurate information about the lexicon of English."
3055,"Whether one can put that information to the appropriate use of building up vocabulary is moot; indubitably, some can, and one never knows till one tries."
3056,"One of these--indeed, it might be able to claim credit for having the longest record of continuous publication anywhere in the world--was Gentleman's Magazine, a monthly, published from 1747 till early in the twentieth century."
3057,"Will someone tell me what language that is? Strange to say, they do not know either at the baths or at the hotel."
3058,"Since quadrangle maps are named for the most prominent feature on the map, he had difficulty trying to explain his choice of name."
3059,The Sherman quadrangle is named after the town of Sherman. There is no town by the name of Sherman.
3060,"Faywood Station is, of course, the station of the town of Faywood, which no longer exists."
3061,"In the days when it did exist it was located in the Sherman quadrangle, about three miles east of Faywood Station."
3062,"As was mentioned above, there is no town by the name of Sherman."
3063,"In various surveys conducted by dictionary publishers over the past years, it has emerged that the main use to which people put dictionaries is to find the correct spelling of a word; the next most frequent use is to determine the meaning of a word; determination of pronunciaton, etymology, synonyms, usage notes, and any other paraphernalia offered comes low on the list."
3064,"As I have observed on numerous occasions in the past, dictionaries are rarely consulted by those who need them the most."
3065,"In order to consult a reference book, one must first acknowledge either ignorance or insecurity, neither of which is either a crime or a reprehensible condition: many people are very certain about things about which they are dead wrong, thus never look them up to check their accuracy."
3066,"' In any event, as it was being read from a script and not delivered off the cuff, I classified it as an illiteracy."
3067,"Recently I was editing a manuscript of a dictionary in which the lexicographer labeled irregardless an illiteracy, and I suggested that a less critical, more clinical term might be nonstandard ."
3068,"If one is going to be pretentious, one ought to get his pretences properly in a row."
3069,"Years ago, lexicographers used the label Colloquial to designate words and senses that were at a language level somewhat below that of formal usage but not so low down and dirty as to be considered Vulgar or Slang ."
3070,Today we should probably consider labeling Great!
3071,"Most readers will probably regard the above as a list of unrelated, more or less well-known English words that have been selected at random, but they will be wrong."
3072,Appearances are often deceiving and this is a case in point.
3073,"The words are not unrelated and they have not been selected at random, for they all have one thing very much in common, namely, they are all Hindi loanwords."
3074,"To be sure, Hindi is not the ultimate source in all cases, but it was at least the final stopping point in the journey of the words into the English lexicon."
3075,"All Hindi loanwords in English, of course, are not as well known or as frequently used as those listed above; indeed, many are obscure in the extreme and are probably never used in speech or encountered in print by the overwhelming majority of English speakers."
3076,"Nonetheless, all are recognized by English lexicographers as being good English words."
3077,"Most Hindi loanwords entered English directly, but a few first passed through the filter of another language."
3078,"Some of the words in my sampling may or may not be Hindi loanwords; that is, etymologists are uncertain whether they are properly attributable to Hindi or some other language of the subcontinent."
3079,Many Hindi loanwords are simply transliterations of the Hindi originals.
3080,"Although most loanwords differ in form somewhat from their Hindi antecedents, the changes are largely minor orthographic ones, as the substitution of ch, gh , and sh for an original c, g , or s , etc."
3081,"Dozens of similar examples could be cited. On the other hand, some loanwords have undergone radical changes."
3082,"The familiar cot and dungaree are close to their Hindi predecessors in pronunciation, though not in spelling; they derive, respectively, from khat and dungri ."
3083,"In the case of some loanwords, there has been a change in both form and meaning."
3084,' These are only a few of the many examples available.
3085,"Some single Hindi words have given rise to two different loanwords. ' Again, numerous other examples could be cited."
3086,"In the small community hospital where I teach and practice hematology and oncology, I frequently struggle to decode the abbreviations and acronyms used by house staff and medical students."
3087,"While this process is frustrating at times, certain abbreviations and acronyms add humor to the atmosphere of busy and stressful day-to-day medical practice."
3088,"For those of us in medicine, we all carry a title M.D ."
3089,"' Speaking of various titles, M.D.s are not the only ones who get the bad names."
3090,"In the field of medical laboratory testing, you may remember a test called the SIA for detecting abnormal macroglobulin in the serum."
3091,"The test is performed by putting a drop of serum into distilled water, producing a grossly visible white precipitate in patients with Waldenstrom's macroglobulinemia and other dysproteinemic disorders."
3092,"Dr. Walden-strom some years ago told me that he had an opportunity to meet Dr. Sia, a Chinese physician who first introduced this simple bedside technique to medicine."
3093,These abbreviations and acronyms are generating laughter in day-to-day life as well as in the medical field.
3094,' At times abbreviations or acronyms get upside-down as well as backward meanings.
3095,The windows of the museum gave some nice views of downtown Philadelphia.
3096,The visit was in early summer when ongoing road pavement work was generating strong smells.
3097,From the museum window we could see a neon sign with PSFS in bright letters on one of the high-rise downtown buildings.
3098,"' However, I later fell in love with this city of brotherly love, not only for its excellent medical training but also for its rich metropolitan atmosphere."
3099,"Like everything else, the meaning of certain abbreviations or acronyms could vary depending on the observer."
3100,"' Indeed we do not seem to be able to get away from numerous abbreviations and acronyms every day of our lives because newspapers, magazines, and TV newscasts love to come up with new and innovative ones."
3101,The myth began its life in mid-19th century histories attempting to document the contributions of Germans to American culture and history.
3102,"There was a language-related vote that may be the ultimate source of the myth, but that vote had nothing to do with choosing an official language."
3103,"An ad hoc committee reported favorably on the proposal, but during the debate a motion to adjourn failed by one vote."
3104,The failure of the motion to adjourn probably represents a vote of no confidence in the committee report.
3105,"After some further debate, which focused not so much on translation as on the means by which copies of the English versions of the federal statutes were to be furnished to the individual states, a new committee was appointed to study the matter and report to the House."
3106,"In the final vote, which took place one month later, the proposal for translation was defeated."
3107,The ayes and nays of the final vote are not recorded.
3108,"This action caused his brother-in-law to stab him, and it cost him his congressional seat in the 1796 election as well."
3109,During this same Congress there were also proposals to adopt the metric system of weights and measures as the official American standard.
3110,"Americans are frequently guilty of nonsense about the German language, but it is regrettable to see it spilling over into your pages."
3111,"' The immense combinative resources of the German language may lead to the creation of ponderous nouns, but seldom to redundancies."
3112,"Knowing that any of the four possibilities would considerably narrow the range of suggestion in the original, but helpless, they settled for L'Invaincu ."
3113,"It was a special matinee, under the auspices of the Stage Society, with a cast drawn exclusively from children of prominent theatrical families."
3114,"We were all between the ages of seven and fifteen, which was entirely appropriate, since Miss Ashford had written her novel at the age of nine."
3115,"Whale was a brilliant man of the theater who wore three hats on this occasion, donating his services as director, producer, and scenic designer."
3116,There followed a list of more than thirty names.
3117,"Christopher's sister, Ann Casson, read the passages which linked up the various scenes."
3118,"The Young Visiters lent itself readily to dramatization, except that one loses the special sort of charm inherent in Daisy's quaint spelling."
3119,But there are other things to charm one in a stage version.
3120,"We all had the pleasure of getting to know Daisy a little bit at rehearsals and felt very much at home with her, which wasn't surprising, since she was only about eighteen herself."
3121,There I had the thrill of winning a canary by rolling a penny down a slide into a tiny bull's-eye.
3122,"With a flourish, I presented it to Dorothy."
3123,"Well, sure enough, Mr. Irvine was right: she was a beautiful woman--and a good actress!"
3124,"That is to say, in 1928 we budding thespians looked on acting in the play as simply a joyous lark."
3125,"We loved the story and the characters, but we had never heard of Flaubert or Tolstoy."
3126,"As in the case of the future tense in English, tense in Chinese is indicated by an auxiliary verb or a particle, not by inflection of the verb."
3127,"If my memory is reliable, Jerome was rhapsodizing about the experiences of three friends on a footloose bicycle tour."
3128,"Take away the bicycles, and it is as near to the meaning of ein Bummel as one can get."
3129,"Might not Jerome, who knew Germany well and spoke German fluently, have simply chosen the slightly more forceful of the two alternative titles?"
3130,The strange concoction of grammar and syntax served up in the Guide no doubt confused and discouraged many of the people it was meant to benefit.
3131,"Even so, the book contains almost seventy thousand family names, which is nothing to sneeze at in a pioneering effort."
3132,One should not think that the book is a scissors-and-paste job.
3133,"Therefore, to compensate for the scarcity of reliable secondary literature, the compilers turned to many specialists."
3134,"With forty-one pages of Introduction and two pages devoted to the resolution of abbreviations, the task is not as hard as he makes it out to be."
3135,"Yes, and that is because genealogical information is most abundant for such people: what, for instance, is known about the ancestry of Frankie Vaughan?"
3136,What I missed in Mr. Dunkling's remarks is mention of a major innovation in this dictionary: nesting.
3137,"The family names are not listed as in a telephone directory, merely in alphabetical order, with no articulation between one entry and the next: rather, if names are etymologically related to one another, they are all listed under the same entry."
3138,A Dictionary of Surnames is thus more like a thesaurus than an alphabetical dictionary.
3139,"The teacher explained, in terms that she hoped were appropriate to her audience."
3140,"Rosten's articles were good-humored, and there was no intimation of negative or hostile feeling toward an ethnic minority."
3141,"To be sure, as it was fiction, Rosten exaggerated a bit, but the real-life models were then extant, and I can vouch for at least one from my own experience."
3142,Within a few paces they encountered an acquaintance of Mr. Kaplan's.
3143,"True enough, my father was a lightning calculator and an expert at solving arithmetical puzzles."
3144,"The operation was a great success, and a couple of days afterward my father received a get-well card from Mr. Kaplan."
3145,"Alas, one rarely hears the echt Litvisch accent these days."
3146,"Mr. Kaplan's generation has largely died off, and its progeny have become Americanized."
3147,"We lose in color what we gain in homogeneity. Before discussing the content, I may be allowed a comment on the title."
3148,"Compared to the soft-drink business, that is like saying that all cola drinks ought to be called Coca-Cola, though one would be legally enjoined from doing so."
3149,"That is why virtually every American dictionary of any shape, size, provenance, comprehensiveness, quality, and lexicographic persuasion is likely to be called a Webster these days."
3150,"From what I know of Bennett and Donald, the decision to include Webster in the title of this book has probably set them spinning in their graves."
3151,"There is another aspect to this change: lamentably, it emphasizes the abiding ignorance and gullibility of the dictionary-buying public."
3152,"Anyone who compares the multifarious dictionaries bearing the Webster name cannot help observing the differences in quality, quantity, and treatment offered: the name has become meaningless, made inferior by its universal application to virtually any kind of dictionary."
3153,"As it turned out, I was compelled to point out several glaring errors in most of those entries, and Jess Stein never spoke to me again."
3154,"The present work contains 180,000 entries, fully 20,000 more than the 1968 edition and 10,000 more than the 1975 edition."
3155,It is questionable to what purpose users of dictionaries are to put this information.
3156,And what is to be made of the following?
